county,livestock_sub_category,livestock_name,livestock_age,production_system,male_livestock_count,female_livestock_count,total_livestock_count
BARINGO,Dairy Goat,Kenyan Alpine,1-2 years,Communal grazing,1393,5233,6626
BARINGO,Dairy Goat,Kenyan Alpine,1-2 years,Free Range,188,437,625
BARINGO,Dairy Goat,Kenyan Alpine,1-2 years,Pastoralism,296,766,1062
BARINGO,Dairy Goat,Kenyan Alpine,1-2 years,Ranching,3,4,7
BARINGO,Dairy Goat,Kenyan Alpine,1-2 years,Rotational grazing/paddocking,2,20,22
BARINGO,Dairy Goat,Kenyan Alpine,1-2 years,Semi zero grazing,40,84,124
BARINGO,Dairy Goat,Kenyan Alpine,1-2 years,Tethering,61,279,340
BARINGO,Dairy Goat,Kenyan Alpine,1-2 years,Zero grazing,3,18,21
BARINGO,Dairy Goat,Kenyan Alpine,2-4yrs,Communal grazing,1137,1975,3112
BARINGO,Dairy Goat,Kenyan Alpine,2-4yrs,Free Range,119,323,442
BARINGO,Dairy Goat,Kenyan Alpine,2-4yrs,Pastoralism,555,1738,2293
BARINGO,Dairy Goat,Kenyan Alpine,2-4yrs,Ranching,29,70,99
BARINGO,Dairy Goat,Kenyan Alpine,2-4yrs,Rotational grazing/paddocking,9,17,26
BARINGO,Dairy Goat,Kenyan Alpine,2-4yrs,Semi zero grazing,17,90,107
BARINGO,Dairy Goat,Kenyan Alpine,2-4yrs,Tethering,32,164,196
BARINGO,Dairy Goat,Kenyan Alpine,2-4yrs,Zero grazing,5,23,28
BARINGO,Dairy Goat,Kenyan Alpine,2-6 months,Communal grazing,261,378,639
BARINGO,Dairy Goat,Kenyan Alpine,2-6 months,Free Range,14,21,35
BARINGO,Dairy Goat,Kenyan Alpine,2-6 months,Pastoralism,194,390,584
BARINGO,Dairy Goat,Kenyan Alpine,2-6 months,Rotational grazing/paddocking,0,2,2
BARINGO,Dairy Goat,Kenyan Alpine,2-6 months,Semi zero grazing,5,21,26
BARINGO,Dairy Goat,Kenyan Alpine,2-6 months,Tethering,40,89,129
BARINGO,Dairy Goat,Kenyan Alpine,2-6 months,Zero grazing,5,10,15
BARINGO,Dairy Goat,Kenyan Alpine,3-8 weeks,Communal grazing,692,2190,2882
BARINGO,Dairy Goat,Kenyan Alpine,3-8 weeks,Free Range,27,33,60
BARINGO,Dairy Goat,Kenyan Alpine,3-8 weeks,Pastoralism,331,436,767
BARINGO,Dairy Goat,Kenyan Alpine,3-8 weeks,Ranching,2,6,8
BARINGO,Dairy Goat,Kenyan Alpine,3-8 weeks,Semi zero grazing,6,9,15
