Year,County,Region,Goats_Dairy,Goats_Meat
2018,Baringo,Semi-Arid,5981,910574
2018,Bungoma,Non-ASAL,6129,116812.568
2018,Busia,Non-ASAL,4716,77101
2018,Elgeyo-Marakwet,Semi-Arid (Low),1600,300621
2018,Embu,Non-ASAL,34718,277376
2018,Garissa,Arid,2533,1913657
2018,Homa Bay,Non-ASAL,5120,547807
2018,Isiolo,Arid,1581,0
2018,Kajiado,Semi-Arid,1823,1201027
2018,Kakamega,Non-ASAL,7536,109943
2018,Kericho,Non-ASAL,1487,81693
2018,Kiambu,Non-ASAL,15908,82149
2018,Kilifi,Semi-Arid,2117,252298
2018,Kirinyaga,Non-ASAL,16888.91,57611.625
2018,Kisii,Non-ASAL,2195,106326
2018,Kisumu,Non-ASAL,2690,144720
2018,Kitui,Semi-Arid,4142,940646
2018,Kwale,Semi-Arid,3232,392714
2018,Laikipia,Semi-Arid,13580,367200
2018,Lamu,Semi-Arid (Low),6709,156279
2018,Machakos,Semi-Arid (Low),21855,716229
2018,Makueni,Semi-Arid,15111,693340.7
2018,Mandera,Arid,1610,1479330
2018,Marsabit,Arid,1606,1670131
2018,Meru,Semi-Arid,75154.2,300616.8
2018,Migori,Non-ASAL,3602,400692
2018,Mombasa,Non-ASAL,229,14233
2018,Murang'a,Non-ASAL,33395,107429
2018,Nairobi,Non-ASAL,6709,28379
2018,Nakuru,Semi-Arid (Low),27091,296924
2018,Nandi,Non-ASAL,13588.899,205718.4144
2018,Narok,Semi-Arid (Low),3919,862485
2018,Nyamira,Non-ASAL,2873,44120
2018,Nyandarua,Non-ASAL,15860,99100
2018,Nyeri,Non-ASAL,31199,63066
2018,Samburu,Arid,1505,831987
2018,Siaya,Non-ASAL,6441,302001
2018,Taita Taveta,Semi-Arid,4462,207920
2018,Tana River,Arid,800,711410
2018,Tharaka-Nithi,Semi-Arid,19747,203633
2018,Trans Nzoia,Non-ASAL,3030,30180
2018,Turkana,Arid,0,6214146.23
2018,Uasin-Gishu,Non-ASAL,900,86063
2018,Vihiga,Non-ASAL,8500,4500
2018,Wajir,Arid,32,1597562
2018,West Pokot,Semi-Arid,467,599025
2018,Bomet,Non-ASAL,4071,69340
2019,Baringo,Semi-Arid,6059,937891
2019,Bomet,Non-ASAL,4587.54,71871.46
2019,Bungoma,Non-ASAL,6192,117979
2019,Busia,Non-ASAL,2544,93191
2019,Elgeyo-Marakwet,Semi-Arid (Low),1370,335918
2019,Embu,Non-ASAL,36357,292628
2019,Garissa,Arid,40,2318400
2019,Homa Bay,Non-ASAL,4095,471545
2019,Isiolo,Arid,720,2059290
2019,Kajiado,Semi-Arid,2015,1282697
2019,Kakamega,Non-ASAL,8347,113276.31
2019,Kericho,Non-ASAL,1718,79242
2019,Kiambu,Non-ASAL,16039.25,79408.98
2019,Kilifi,Semi-Arid,4068,872620
2019,Kirinyaga,Non-ASAL,22836,74896
2019,Kisii,Non-ASAL,1968,49687
2019,Kisumu,Non-ASAL,2904,154847
2019,Kitui,Semi-Arid,3970,1128773
2019,Kwale,Semi-Arid,28743,353667
2019,Laikipia,Semi-Arid,17580,386200
2019,Lamu,Semi-Arid (Low),6709,156279
2019,Machakos,Semi-Arid (Low),6232,358160
2019,Makueni,Semi-Arid,14657.67,679473.886
2019,Mandera,Arid,1610,4898807
2019,Marsabit,Arid,1606,1670131
2019,Meru,Semi-Arid,84176,258022
2019,Migori,Non-ASAL,3805,511688.4
2019,Mombasa,Non-ASAL,264,25147
2019,Murang'a,Non-ASAL,65566,110385
2019,Nairobi,Non-ASAL,5398.85,23016.15
2019,Nakuru,Semi-Arid (Low),37155,308151
2019,Nandi,Non-ASAL,13588.899,205718.4144
2019,Narok,Semi-Arid (Low),5079.225,1010765.775
2019,Nyamira,Non-ASAL,1191,38144
2019,Nyandarua,Non-ASAL,16104,63575
2019,Nyeri,Non-ASAL,34255,65538
2019,Samburu,Arid,1640,1153080
2019,Siaya,Non-ASAL,6861,313791
2019,Taita Taveta,Semi-Arid,3728,272674
2019,Tana River,Arid,700,714620
2019,Tharaka-Nithi,Semi-Arid,18847,214217
2019,Trans Nzoia,Non-ASAL,3358,34441
2019,Turkana,Arid,0,6410568
2019,Uasin-Gishu,Non-ASAL,886,84584
2019,Vihiga,Non-ASAL,8600,4500
2019,Wajir,Arid,32,3198284
2019,West Pokot,Semi-Arid,573,600185
