year,county,Region,milk_kg,milk_unit_price_kshs,milk_total_value_kshs,chevon_kg,chevon_unit_price_kshs,chevon_total_value_kshs
2018,Baringo,Semi-Arid,1228990.32,40,49159612.8,1327604,400,531041600
2018,Bomet,Non-ASAL,5511877.68,30,165356330.4,159959,480,76780320
2018,Bungoma,Non-ASAL,3090387.42,60,185423245.2,121960,360,43905600
2018,Busia,Non-ASAL,1117320.84,60,67039250.4,144627,400,57850800
2018,Elgeyo-Marakwet,Semi-Arid (Low),2105505.36,45,94747741.2,245508,450,110478600
2018,Embu,Non-ASAL,1481406.16,35,51849215.6,243240,420,102160800
2018,Garissa,Arid,274873.12,70,19241118.4,551574,500,275787000
2018,Homa Bay,Non-ASAL,2701121.28,70,189078489.6,1776636,400,710654400
2018,Isiolo,Arid,415200,80,33216000,85020,400,34008000
2018,Kajiado,Semi-Arid,2193478.92,60,131608735.2,2161848.6,450,972831870
2018,Kakamega,Non-ASAL,6602210.52,60,396132631.2,1644224,400,657689600
2018,Kericho,Non-ASAL,7240000,40,289600000,144327,600,86596200
2018,Kiambu,Non-ASAL,15005837.44,35,525204310.4,176502.6,500,88251300
2018,Kilifi,Semi-Arid,869100.76,38,33025828.88,498490,400,199396000
2018,Kirinyaga,Non-ASAL,1886320.08,35,66021202.8,32617.62,400,13047048
2018,Kisii,Non-ASAL,6286573.32,40,251462932.8,309533.99,400,123813596
2018,Kisumu,Non-ASAL,3386079.96,60,203164797.6,369900,400,147960000
2018,Kitui,Semi-Arid,335567.76,60,20134065.6,3390290.7,500,1695145350
2018,Kwale,Semi-Arid,368472,62.5,23029500,421150,412.5,173724375
2018,Laikipia,Semi-Arid,2280914.4,40,91236576,685404,450,308431800
2018,Lamu,Semi-Arid (Low),280647.6,60,16838856,318696,500,159348000
2018,Machakos,Semi-Arid (Low),1935904.6,60,116154276,874290,480,419659200
2018,Makueni,Semi-Arid,1236058.142,51.66666667,63863004,2141975.88,450,963889146
2018,Mandera,Arid,373941.04,120,44872924.8,471787.74,0,0
